sku,product,category,price,stock,rating
P001,무선이어폰 Pro,전자기기,89000,145,4.5
P002,텀블러 500ml,생활용품,18000,320,4.2
P003,요가매트,스포츠,35000,88,4.7
P004,블루투스 스피커,전자기기,65000,62,4.3
P005,아이패드 케이스,전자기기,22000,210,4.1
P006,프로틴 바,식품,2500,890,3.9
P007,러닝화,스포츠,75000,44,4.6
P008,커피머신,주방기기,145000,28,4.8
P009,손목밴드,스포츠,15000,156,4.0
P010,공기청정기 필터,생활용품,12000,445,4.4
P011,게이밍 마우스,전자기기,45000,93,4.5
P012,단백질 셰이크,식품,18000,234,4.1
P013,철제 선반,생활용품,55000,37,4.3
P014,달리기 장갑,스포츠,12000,178,3.8
P015,에어팟 충전케이스,전자기기,35000,67,4.2
P016,전기포트,주방기기,32000,112,4.6
P017,배드민턴 라켓,스포츠,28000,55,4.4
P018,견과류 믹스,식품,8500,567,4.3
P019,노트북 파우치,전자기기,19000,189,4.0
P020,주방용 저울,주방기기,25000,143,4.5
